数字显示        二进制         16进制
   1           11001111        0xcf
   2           10100100        0xa4
   3           10110000        0xb0
   4           10011001        0x99
   5           10010010        0x92
   6           10000010        0x82
   7           11111000        0xf8
   8           10000000        0x80
   9           10010000        0x90
   0           11000000        0xc0
   a           10001000        0x88
   c           11000110        0xc6
   b           10000011        0x83
   d           10100001        0xa1
   e           10000110        0x86
   f           10001110        0x8e
